Course	Room	Teacher	Time	Students
017120	19 / 45 / 19	DAL212A	0806046	1	3852791 3914344 4002914 4091443 4093409 4095965 4096206 4096706 4164342 3708949 3768515 3819353 3908314 4181152 3953819 3797266 3992528 4003045 4278355 
004360	2 / 2 / 29	TAYD	0847593	1	3928826 4062047 
010851	19 / 30 / 19	PK336	0207327	1	3820963 3821077 3928890 3929979 3991180 3820038 3821044 3788990 3818480 3930296 4091936 4093611 3930168 4095080 3716140 3910649 3774021 3821643 4017901 
007882	3 / 3 / 13	RCCON	3435819	2	3929289 3994876 4175475 
004809	6 / 9 / 58	TH110	3194193	1	3929575 4278829 4281294 4035604 3935616 4175859 
009386	7 / 9 / 59	PK243	4354080	1	3910185 3929635 4282008 3771747 3928941 3818274 4000336 
014180	3 / 5 / 18	EHLEC	0599596	1	3904411 4091718 3691228 
007113	8 / 10 / 17	TAYSEM	0316015	1	3913606 3929289 3585962 3821687 3930614 4090714 3910582 3817261 
015855	11 / 21 / 11	DAL10	3927894	1	4003199 4091899 4093970 4280658 3994726 3823278 3817427 3687862 4091782 4086404 4086480 
003019	22 / 24 / 55	CARP21	4354612	1	3931686 4043543 4089004 4140278 4176781 4278528 3929472 4093026 4175351 3930070 4175292 3910524 4092144 3693840 3904254 4280941 4175405 4092819 4175363 4175524 4468375 3792443 
006034	10 / 14 / 65	PK338	0213446	1	3930034 4127521 4174768 3931666 3983482 3915026 4094640 3930817 4000502 4280948 
006523	2 / 4 / 28	TH111	0031573	1	3930674 3821180 
003270	16 / 20 / 34	TAYG	0492451	1	3931202 3960504 4003839 4280864 3910427 3616206 4000483 4091439 3822148 3922542 4095128 3822731 3901731 3914750 3920306 3930891 
004015	5 / 9 / 31	TAYE	0854975	1	3937160 4003168 4236548 3852806 3888348 
016863	7 / 12 / 7	CAN205	4168993	1	3823338 3931836 4174272 4180435 4280465 4023381 4093607 
016882	6 / 8 / 50	DAL119	4091222	1	3851827 4001588 3759337 3914683 4095206 4086280 
005725	6 / 10 / 6	TH129	4362771	1	3932089 4282999 3870878 4170477 3901936 4094965 
001427	2 / 3 / 18	CARP25	0901151	1	3920668 3928949 
002876	28 / 35 / 28	TH104	1084458	2	3881597 3934527 3973168 4003839 4125799 4174480 4174768 4252142 3973885 4096899 3880322 4278829 4281892 4090814 4146034 4153409 3773692 4096262 4125081 4175486 3920668 4002113 3609553 3904102 3910608 3822912 3932941 4002909 
013210	3 / 5 / 10	TH223	0031582	1	3934527 4281409 4093126 
002671	1 / 2 / 6	TH129	0847593	2	3910636 
005120	2 / 5 / 17	TAYSEM	4273391	2	3937982 4262071 
005846	6 / 10 / 6	TH129	3479968	3	3941346 4093970 4096899 3880322 4180953 4055257 
009225	9 / 11 / 15	EHIII	0022277	1	3945475 3789573 3823151 4086619 4175357 3906250 4096186 4278484 3910634 
